uid,mean_deadline,std_deadline
u01,0.0,0.0
u02,0.16901408450704225,0.41063041512995074
u03,0.2112676056338028,0.47219872152789333
u04,0.09859154929577464,0.29811282378192566
u05,0.23943661971830985,0.48830805136224553
u07,0.28169014084507044,0.585820685720716
u08,0.2535211267605634,0.5232162146762454
u09,0.09859154929577464,0.29811282378192566
u10,0.2535211267605634,0.5232162146762454
u12,0.38028169014084506,0.6361459036978149
u13,0.15492957746478872,0.3988676692536985
u14,0.352112676056338,0.6940104222397137
u15,0.18309859154929578,0.483818705276554
u16,0.2112676056338028,0.441364496225138
u17,0.16901408450704225,0.4436060774091161
u18,0.3380281690140845,0.6267209989094926
u19,0.38028169014084506,0.699420226362543
u20,0.2112676056338028,0.47219872152789333
u22,0.19718309859154928,0.46329251277178946
u23,0.15492957746478872,0.3988676692536985
u24,0.2676056338028169,0.6270374447761144
u25,0.15492957746478872,0.3618375374271868
u27,0.28169014084507044,0.5612636294414444
u30,0.36619718309859156,0.5370612947869752
u31,0.16901408450704225,0.41063041512995074
u32,0.352112676056338,0.4776288720510753
u33,0.39436619718309857,0.5928891599957519
u34,0.15492957746478872,0.3988676692536985
u35,0.15492957746478872,0.3988676692536985
u41,0.19718309859154928,0.46329251277178946
u42,0.15492957746478872,0.3988676692536985
u44,0.2112676056338028,0.52849755040264
u45,0.15492957746478872,0.3988676692536985
u46,0.23943661971830985,0.48830805136224553
u47,0.2112676056338028,0.52849755040264
u49,1.1830985915492958,0.9540109420775267
u50,0.2112676056338028,0.52849755040264
u51,0.15492957746478872,0.3988676692536985
u52,0.22535211267605634,0.48052738335864736
u53,0.09859154929577464,0.29811282378192566
u54,0.43661971830985913,0.574882581181931
u57,0.2112676056338028,0.52849755040264
u58,0.09859154929577464,0.29811282378192566
u59,0.7323943661971831,0.9186295131898777
