uid,"1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and ""stressed""?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
u00,1.5,2.0,2.5,3.0,2.0,3.0,2.5,2.0,2.0,2.0
u01,1.5,2.0,2.0,2.5,3.0,2.0,2.5,3.0,1.5,1.5
u02,2.5,2.0,3.0,3.0,1.5,3.0,1.5,2.0,2.5,2.0
u03,1.5,1.5,3.0,1.5,1.5,1.5,1.0,0.5,0.5,1.0
u04,1.5,1.0,3.5,2.5,2.0,2.0,2.5,1.5,1.5,2.0
u05,1.5,1.5,1.0,3.5,3.5,0.5,3.5,3.5,0.5,0.0
u07,2.0,2.0,3.5,3.5,2.5,2.0,2.0,2.0,2.5,2.0
u09,1.0,1.5,3.0,2.5,3.0,1.5,3.0,2.0,1.0,1.5
u10,2.5,2.0,3.0,3.5,3.0,2.0,1.5,4.0,2.5,1.5
u14,1.5,0.5,2.5,2.5,2.5,1.0,4.0,4.0,1.5,1.5
u15,2.0,1.5,2.5,2.5,2.5,1.0,2.5,2.0,2.0,1.0
u16,3.5,4.0,4.0,2.5,2.0,2.0,2.5,3.0,2.0,3.5
u17,3.0,4.0,4.0,2.0,1.0,4.0,1.5,0.0,3.5,3.5
u18,3.0,3.0,3.5,2.5,1.5,2.5,2.0,2.0,2.5,3.0
u19,2.0,2.5,3.0,2.0,2.5,1.5,1.5,2.5,2.0,2.0
u20,1.5,1.5,2.5,2.5,2.5,2.0,4.0,2.0,1.5,2.0
u23,3.0,2.5,3.5,2.5,2.0,2.5,2.0,2.0,3.0,2.5
u24,1.5,1.0,2.5,2.5,3.0,1.5,2.5,1.5,2.0,1.0
u27,2.0,2.0,3.5,2.5,2.0,2.5,2.0,2.0,1.5,1.5
u30,1.5,1.5,2.0,3.5,3.0,1.5,3.5,3.5,1.0,0.5
u31,3.5,3.0,0.5,1.0,1.5,1.5,2.5,0.5,1.5,1.0
u32,0.5,1.5,2.0,4.0,3.0,0.5,4.0,4.0,0.0,0.0
u33,3.0,4.0,4.0,1.0,1.0,4.0,1.0,0.5,2.0,3.5
u34,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.5,1.5
u35,1.5,2.0,1.5,2.5,2.5,1.5,3.5,2.0,1.0,2.0
u36,1.5,1.0,2.0,3.0,2.5,1.5,2.0,1.5,1.0,1.0
u42,1.5,2.5,2.5,1.5,1.5,1.5,2.0,2.0,1.0,1.5
u43,1.5,2.5,2.0,2.5,2.5,1.5,3.0,2.5,2.5,1.5
u44,1.5,2.0,2.0,2.0,2.0,1.5,2.0,1.0,2.0,1.0
u45,1.5,2.5,1.5,1.0,1.0,1.5,0.5,2.0,2.5,1.5
u46,3.5,2.5,3.0,1.5,1.5,4.0,1.0,2.0,4.0,3.5
u47,2.0,1.5,3.0,2.0,2.0,2.0,1.5,2.0,2.5,1.5
u49,1.5,1.5,2.0,3.0,3.5,1.0,3.5,3.0,1.5,1.5
u51,1.0,1.0,2.5,2.5,2.5,1.0,3.0,2.5,1.0,1.0
u52,2.0,4.0,4.0,1.0,3.0,2.5,2.5,1.5,1.5,3.5
u53,2.5,2.5,3.5,2.0,2.0,2.0,3.0,2.0,2.0,2.0
u54,3.0,3.0,3.0,2.5,2.0,2.0,2.5,1.0,1.5,2.0
u56,1.0,1.5,1.0,3.0,3.5,1.5,3.0,3.0,0.5,1.0
u59,2.0,2.5,2.0,2.5,2.5,2.5,3.5,3.0,1.5,0.5
