uid,total_location,unique_location
u00,11221,1001
u01,20149,1045
u02,27947,1320
u03,15251,265
u04,30811,2023
u05,23058,1036
u07,57202,1641
u08,40857,1294
u09,40184,1139
u10,36677,1155
u12,12546,891
u13,50474,704
u14,29934,1018
u15,9791,750
u16,23568,980
u17,44271,1029
u18,25277,758
u19,52553,874
u20,21153,535
u22,59471,906
u23,13624,468
u24,13710,524
u25,11195,764
u27,23377,742
u30,66920,1301
u31,15807,844
u32,84148,1378
u33,27465,997
u34,7843,697
u35,13314,667
u36,46055,906
u39,3496,133
u41,45302,797
u42,14813,712
u43,11643,957
u44,10440,445
u45,19761,992
u46,43946,1489
u47,7110,831
u49,77786,1708
u50,28895,238
u51,24949,942
u52,368674,858
u53,39129,518
u54,14317,863
u56,9645,751
u57,104615,1069
u58,29733,630
u59,83731,1217
